item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q2051	Jesusen Bihotzaren Debozioa	Sebastian Mendiburu	Q2050	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuDebozioa/TEI	MendiburuDebozioa
Q1931	Azkaine gure sorterria	Jean Elizalde	Q1930	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariAzkaine/TEI	ZerbitzariAzkaine
Q1989	Artho-xuritzetan	Jean Elizalde	Q1988	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariArtho/TEI	ZerbitzariArtho
Q1905	Othoitza eklesiastikoen forma	Joanes Leizarraga	Q1904	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaForma/TEI	LeizarragaForma
Q2063	ABC edo Kristinoen instrukzionea	Joanes Leizarraga	Q2062	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaAbc/TEI	LeizarragaAbc
Q1973	Tormesko itsu-mutila	Nikolas Ormaetxea	Q1972	https://monumenta.wikibase.cloud/wiki/Testua:OrixeTormes/TEI	OrixeTormes
Q2009	Euskaldunak	Nikolas Ormaetxea	Q2008	https://monumenta.wikibase.cloud/wiki/Testua:OrixeEuskaldunak/TEI	OrixeEuskaldunak
Q2039	Kiton arrebarekin	Nikolas Ormaetxea	Q2038	https://monumenta.wikibase.cloud/wiki/Testua:OrixeKiton/TEI	OrixeKiton
Q2083	Mireio	Nikolas Ormaetxea	Q2082	https://monumenta.wikibase.cloud/wiki/Testua:OrixeMireio/TEI	OrixeMireio
Q2089	Barne muinetan	Nikolas Ormaetxea	Q2088	https://monumenta.wikibase.cloud/wiki/Testua:OrixeMuinetan/TEI	OrixeMuinetan
Q1893	Aita San Ignazioren bizitza laburra	Agustin Kardaberaz	Q1892	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazIgnazio/TEI	KardaberazIgnazio
Q1915	Jesus Maria eta Joseren debozioa	Agustin Kardaberaz	Q1914	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazJesusMaria/TEI	KardaberazJesusMaria
Q1925	Ama beneragarri Josefaren bizitza	Agustin Kardaberaz	Q1924	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazJosefa/TEI	KardaberazJosefa
Q1927	Meza eta komunioa	Agustin Kardaberaz	Q1926	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazMezaKomunioa/TEI	KardaberazMezaKomunioa
Q1941	Kristabaren bizitza (2. arg.)	Agustin Kardaberaz	Q1940	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazKristabaII/TEI	KardaberazKristabaII
Q1957	Ejerzizioak-II	Agustin Kardaberaz	Q1956	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazAfektoak/TEI	KardaberazAfektoak
Q1951	Kristiñau dotrinea	Agustin Kardaberaz	Q1950	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazDotrinea/TEI	KardaberazDotrinea
Q2041	Ejerzizioak-IV	Agustin Kardaberaz	Q2040	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazEjerzizioakIV/TEI	KardaberazEjerzizioakIV
Q1661	Piarres I	Jean Barbier	Q1660	https://monumenta.wikibase.cloud/wiki/Testua:BarbierPiarresI/TEI	BarbierPiarresI
Q1663	Eskuizkribua	Juan Perez de Lazarraga	Q1662	https://monumenta.wikibase.cloud/wiki/Testua:Lazarraga/TEI	Lazarraga
Q1667	Gontzetarik jalgiaraziak	Jean Hiriart Urruti	Q1666	https://monumenta.wikibase.cloud/wiki/Testua:HiriUrruGontze/TEI	HiriUrruGontze
Q1521	Jaun Dauphinen errelazionea	Anonimoa	Q1520	https://monumenta.wikibase.cloud/wiki/Testua:AnonimErrelazionea/TEI	AnonimErrelazionea
Q1527	Kristiñeu Dotrinien Lau Partiak eskuizkribua	Anonimoa	Q1526	https://monumenta.wikibase.cloud/wiki/Testua:AnonimPartiak/TEI	AnonimPartiak
Q1531	Kristiñeu Dotrinien Lau Partiak	Anonimoa	Q1530	https://monumenta.wikibase.cloud/wiki/Testua:AnonimPartia/TEI	AnonimPartia
Q1571	Ruth-en liburua	Anonimoa	Q1570	https://monumenta.wikibase.cloud/wiki/Testua:AnonimRuth/TEI	AnonimRuth
Q1583	Eskualdun kozinera	Anonimoa	Q1582	https://monumenta.wikibase.cloud/wiki/Testua:AnonimKozinera/TEI	AnonimKozinera
Q1533	Beste zenbat itzulpen	Emanuel Intxauspe	Q1532	https://monumenta.wikibase.cloud/wiki/Testua:IntxauspeItzulpenak/TEI	IntxauspeItzulpenak
Q1569	Iturriagaren Elhestaldiak	Emanuel Intxauspe	Q1568	https://monumenta.wikibase.cloud/wiki/Testua:IntxauspeElhestaldiak/TEI	IntxauspeElhestaldiak
Q1477	Ogeta bost lezinoe ta sermoe bat	Frai Bartolome	Q1476	https://monumenta.wikibase.cloud/wiki/Testua:FraiOgetabost/TEI	FraiOgetabost
Q1589	Jaungoikoaren amar agindubeetako lenengo bosteen ikasikizunak	Frai Bartolome	Q1588	https://monumenta.wikibase.cloud/wiki/Testua:FraiLelengo/TEI	FraiLelengo
Q1665	Euskal Errijetako olgeeta ta dantzeen neurrizko gatz-ozpinduba	Frai Bartolome	Q1664	https://monumenta.wikibase.cloud/wiki/Testua:FraiOlgeeta/TEI	FraiOlgeeta
Q1645	Porru salda	Ignazio K. Nuñez Arizmendi	Q1644	https://monumenta.wikibase.cloud/wiki/Testua:NunezPorru/TEI	NunezPorru
Q2005	Andoni deunaren bizitza	Federiko Belaustegigoitia	Q2004	https://monumenta.wikibase.cloud/wiki/Testua:BelaustegigoitiaAndoni/TEI	BelaustegigoitiaAndoni
Q2105	San Frantzisko Asiskoaren bizitza	Manuel Antonio Antia	Q2104	https://monumenta.wikibase.cloud/wiki/Testua:AntiaAsiskoa/TEI	AntiaAsiskoa
Q2111	Euskal olerkiak	Juan Bautista Gamiz Ruiz de Oteo	Q2110	https://monumenta.wikibase.cloud/wiki/Testua:GamizOlerkiak/TEI	GamizOlerkiak
Q2045	Alkar	Pedro Mari Otaño	Q2044	https://monumenta.wikibase.cloud/wiki/Testua:OtanoAlkar/TEI	OtanoAlkar
Q2055	Zerura nai duenak ar dezaken bide erraza	Jose Antonio Mikelestorena	Q2054	https://monumenta.wikibase.cloud/wiki/Testua:MikelestorenaZerura/TEI	MikelestorenaZerura
Q2059	Olerki-lan guztiak	Alejandro Tapia Perurena	Q2058	https://monumenta.wikibase.cloud/wiki/Testua:TapiaOlerkiak/TEI	TapiaOlerkiak
Q2067	Manual debozionezkoa	Joanes Etxeberri (Ziburukoa)	Q2066	https://monumenta.wikibase.cloud/wiki/Testua:EtxebZibuManual/TEI	EtxebZibuManual
Q2071	Kuartetak	Martin Iturbe Balda	Q2070	https://monumenta.wikibase.cloud/wiki/Testua:IturbeKuartetak/TEI	IturbeKuartetak
Q2077	Igandea edo Jaunaren eguna	Jean Pierre Arbelbide	Q2076	https://monumenta.wikibase.cloud/wiki/Testua:ArbelbideIgandea/TEI	ArbelbideIgandea
Q1981	Eleisako zazpi sakramentuben ikasikizuna	Frai Bartolome	Q1980	https://monumenta.wikibase.cloud/wiki/Testua:FraiSakramen/TEI	FraiSakramen
Q1955	Ama Birjiñaren agertziak	Franzisko Goñi	Q1954	https://monumenta.wikibase.cloud/wiki/Testua:GoniAgertziak/TEI	GoniAgertziak
Q2049	Ebaisto	Ignazio K. Nuñez Arizmendi	Q2048	https://monumenta.wikibase.cloud/wiki/Testua:NunezEbaisto/TEI	NunezEbaisto
Q2053	Karmela	Jean Pierre Harispe	Q2052	https://monumenta.wikibase.cloud/wiki/Testua:HarispeKarmela/TEI	HarispeKarmela
Q1505	Laborantzako liburua	Jean Duvoisin	Q1504	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinLaborantza/TEI	DuvoisinLaborantza
Q1541	Bible Saindua (III) - Testament Berria	Jean Duvoisin	Q1540	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBibleaIII/TEI	DuvoisinBibleaIII
Q1619	Bible Saindua (I) - Testament Zaharra, 1. zathia	Jean Duvoisin	Q1618	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBibleaI/TEI	DuvoisinBibleaI
Q1655	Bible Saindua (II) - Testament Zaharra, 2. zathia	Jean Duvoisin	Q1654	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBibleaII/TEI	DuvoisinBibleaII
Q1507	Jesu-Kristo, eta Birjiña txit santaren misterioen, eta beste zenbait gauzen gañean erakusaldiak	Juan Bautista Agirre	Q1506	https://monumenta.wikibase.cloud/wiki/Testua:AgirreAErakusBirjina/TEI	AgirreAErakusBirjina
Q1511	Konfesioko eta komunioko sakramentuen gañean erakusaldiak	Juan Bautista Agirre	Q1510	https://monumenta.wikibase.cloud/wiki/Testua:AgirreAErakusKonfesio/TEI	AgirreAErakusKonfesio
Q1509	Biblia (3)	Jose Antonio Uriarte	Q1508	https://monumenta.wikibase.cloud/wiki/Testua:UriarteBibliaIII/TEI	UriarteBibliaIII
Q1517	Zumalakarregi	Joseba Zubimendi	Q1516	https://monumenta.wikibase.cloud/wiki/Testua:ZubimendiZumalakarregi/TEI	ZubimendiZumalakarregi
Q1519	Frantziako hirur errepubliken ixtorioa laburzki	Mixel Elizanburu	Q1518	https://monumenta.wikibase.cloud/wiki/Testua:ElizanburuMHirur/TEI	ElizanburuMHirur
Q1523	Don Juan eta bere adixkidiak	Jean Baptiste Constantin	Q1522	https://monumenta.wikibase.cloud/wiki/Testua:ConstantinDonjuan/TEI	ConstantinDonjuan
Q1525	Kristauaren doktrina	Sebastian Mendiburu	Q1524	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuDoktrina/TEI	MendiburuDoktrina
Q1547	Euskaldun onaren biziera	Sebastian Mendiburu	Q1546	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuBiziera/TEI	MendiburuBiziera
Q1595	Festegunetarako irakurraldiak	Sebastian Mendiburu	Q1594	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuFestegun/TEI	MendiburuFestegun
Q1529	Bi gogorrak	Jean Elizalde	Q1528	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariGogorrak/TEI	ZerbitzariGogorrak
Q1627	57a gerlan	Jean Elizalde	Q1626	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariGerlan/TEI	ZerbitzariGerlan
Q1561	Ama birjinaren ofizioa	Kristobal Harizmendi	Q1560	https://monumenta.wikibase.cloud/wiki/Testua:HarizmendiOfizioa/TEI	HarizmendiOfizioa
Q1563	Lukainka	Antonio Arruti	Q1562	https://monumenta.wikibase.cloud/wiki/Testua:ArrutiLukainka/TEI	ArrutiLukainka
Q1565	Iesus Krist Gure Iaunaren Testamentu Berria	Joanes Leizarraga	Q1564	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaTesta/TEI	LeizarragaTesta
Q1567	Euskal literaturaren atze edo edesti laburra	Nikolas Ormaetxea	Q1566	https://monumenta.wikibase.cloud/wiki/Testua:OrixeEdesti/TEI	OrixeEdesti
Q1573	Lapurren menpean	Agustin Zarrantz	Q1572	https://monumenta.wikibase.cloud/wiki/Testua:IraizozLapurren/TEI	IraizozLapurren
Q1639	Yesu Kristo gure Yaunaren bizia	Agustin Zarrantz	Q1638	https://monumenta.wikibase.cloud/wiki/Testua:IraizozYesuKristo/TEI	IraizozYesuKristo
Q1901	Fableak edo Alegiak	Léonce Goihetxe	Q1900	https://monumenta.wikibase.cloud/wiki/Testua:GoietxeFableak/TEI	GoietxeFableak
Q1903	Kristauaren ikasbidea	Damaso Legaz	Q1902	https://monumenta.wikibase.cloud/wiki/Testua:LegazIkasbidea/TEI	LegazIkasbidea
Q1907	Gabonetarako ikuskizuna	Pedro Ignazio Barrutia	Q1906	https://monumenta.wikibase.cloud/wiki/Testua:BarrutiaIkuskizuna/TEI	BarrutiaIkuskizuna
Q1909	Lau-Urduri gomendiozko karta, edo guthuna	Joanes Etxeberri (Sarakoa)	Q1908	https://monumenta.wikibase.cloud/wiki/Testua:EtxebSaraLauUrduri/TEI	EtxebSaraLauUrduri
Q1943	Eskual-Herriko gazteriari	Joanes Etxeberri (Sarakoa)	Q1942	https://monumenta.wikibase.cloud/wiki/Testua:EtxebSaraGazteriari/TEI	EtxebSaraGazteriari
Q2031	Eskuararen hatsapenak	Joanes Etxeberri (Sarakoa)	Q2030	https://monumenta.wikibase.cloud/wiki/Testua:EtxebSaraHatsapenak/TEI	EtxebSaraHatsapenak
Q1911	Urteko domeka gustijetarako berbaldi ikasbidekuak (II)	Pedro Astarloa	Q1910	https://monumenta.wikibase.cloud/wiki/Testua:AstarloaPDomeka/TEI	AstarloaPDomeka
Q1919	Bertolda eta Bertoldin	Bernardo Maria Garro	Q1918	https://monumenta.wikibase.cloud/wiki/Testua:OtxoluaBertolda/TEI	OtxoluaBertolda
Q1921	Itxasoko Nabigazionekoa	Piarres Etxeberri Dorre	Q1920	https://monumenta.wikibase.cloud/wiki/Testua:EtxebDorreItxasoko/TEI	EtxebDorreItxasoko
Q1929	Bordel bertsularia	Bordel	Q1928	https://monumenta.wikibase.cloud/wiki/Testua:Bordel/TEI	Bordel
Q1933	Katexima labürra	Athanase Belapeire	Q1932	https://monumenta.wikibase.cloud/wiki/Testua:BelapeireKatexima/TEI	BelapeireKatexima
Q1935	Bertsuak	Manex Etxamendi	Q1934	https://monumenta.wikibase.cloud/wiki/Testua:EtxamendiM/TEI	EtxamendiM
Q1939	Ipuin laburrak	Bitor Garitaonandia	Q1938	https://monumenta.wikibase.cloud/wiki/Testua:GaritaonandiaIpuin/TEI	GaritaonandiaIpuin
Q1947	Lan orhoitgarri zonbait	Jules Moulier	Q1946	https://monumenta.wikibase.cloud/wiki/Testua:OxobiZonbait/TEI	OxobiZonbait
Q1949	Artikulu bilduma	Enrike Zubiri	Q1948	https://monumenta.wikibase.cloud/wiki/Testua:ManezaundiArtikuluak/TEI	ManezaundiArtikuluak
Q1961	Üskal noelen lilia	Charles Bordes	Q1960	https://monumenta.wikibase.cloud/wiki/Testua:BordesNoelen/TEI	BordesNoelen
Q1971	Filosofo Huskaldunaren ekheia	Jusef Egiategi	Q1970	https://monumenta.wikibase.cloud/wiki/Testua:EgiategiEkheia/TEI	EgiategiEkheia
Q1975	Ikasbide kristinaukorraren azalduera laburrak	Andres Iturzaeta	Q1974	https://monumenta.wikibase.cloud/wiki/Testua:IturzaetaAzalduerak/TEI	IturzaetaAzalduerak
Q1983	Kaniko eta Belxitina	Jakes Oihenart	Q1982	https://monumenta.wikibase.cloud/wiki/Testua:OihenarteBelxitina/TEI	OihenarteBelxitina
Q1987	Egia katholikak	Bernard Gazteluzar	Q1986	https://monumenta.wikibase.cloud/wiki/Testua:GazteluzarEgia/TEI	GazteluzarEgia
Q2001	Gizarte auzia	Juan Bautista Eguzkitza	Q2000	https://monumenta.wikibase.cloud/wiki/Testua:EguzkitzaAuzia/TEI	EguzkitzaAuzia
Q2003	Gudu izpirituala	Joanes Haraneder	Q2002	https://monumenta.wikibase.cloud/wiki/Testua:HaranederGudu/TEI	HaranederGudu
Q2061	Jesu Kristoren ebanjelio saindua	Joanes Haraneder	Q2060	https://monumenta.wikibase.cloud/wiki/Testua:HaranederEbanjelioa/TEI	HaranederEbanjelioa
Q2081	Asti-orduetako bertsozko lanak	Felipe Arrese Beitia	Q2080	https://monumenta.wikibase.cloud/wiki/Testua:ArreseBeitiaAstiOrduetako/TEI	ArreseBeitiaAstiOrduetako
Q2047	Jaioterri maitia	Jose Manuel Etxeita	Q2046	https://monumenta.wikibase.cloud/wiki/Testua:EtxeitaJaioterri/TEI	EtxeitaJaioterri
Q2073	Beribilez	Jean Etxepare Bidegorri	Q2072	https://monumenta.wikibase.cloud/wiki/Testua:EtxepareJBideBeribilez/TEI	EtxepareJBideBeribilez
Q1963	Supazter xokoan	Jean Barbier	Q1962	https://monumenta.wikibase.cloud/wiki/Testua:BarbierXokoan/TEI	BarbierXokoan
Q1991	Zenbait sanduen biziak asteaz datozinak	Joakin Lizarraga	Q1990	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaZenbaitSandu/TEI	LizarragaZenbaitSandu
Q2043	Firi-firi	Paulo Zamarripa	Q2042	https://monumenta.wikibase.cloud/wiki/Testua:ZamarripaFiri/TEI	ZamarripaFiri
Q2013	Usauri	Augustin Anabitarte	Q2012	https://monumenta.wikibase.cloud/wiki/Testua:AnabitarteUsauri/TEI	AnabitarteUsauri
Q2079	Garoa	Txomin Agirre	Q2078	https://monumenta.wikibase.cloud/wiki/Testua:AgirreDGaroa/TEI	AgirreDGaroa
Q2085	Kresala	Txomin Agirre	Q2084	https://monumenta.wikibase.cloud/wiki/Testua:AgirreDKresala/TEI	AgirreDKresala
Q2065	Lili-txingar	Alejandro Bilbao	Q2064	https://monumenta.wikibase.cloud/wiki/Testua:MaruriLiliTxingar/TEI	MaruriLiliTxingar
Q1977	Eskaraz egia	Jean-Martin Hiribarren	Q1976	https://monumenta.wikibase.cloud/wiki/Testua:HiribarrenEgia/TEI	HiribarrenEgia
Q2029	Eskaldunak	Jean-Martin Hiribarren	Q2028	https://monumenta.wikibase.cloud/wiki/Testua:HiribarrenEskaldunak/TEI	HiribarrenEskaldunak
Q2057	Iruñeko bestak 1845	Jean-Martin Hiribarren	Q2056	https://monumenta.wikibase.cloud/wiki/Testua:HiribarrenBestak/TEI	HiribarrenBestak
Q1959	Abarrak	Ebaristo Bustintza	Q1958	https://monumenta.wikibase.cloud/wiki/Testua:KirikinoAbarrak/TEI	KirikinoAbarrak
Q2075	Testamentu zarreko kondaira	Francisco Ignacio Lardizabal	Q2074	https://monumenta.wikibase.cloud/wiki/Testua:LardizabalZarreko/TEI	LardizabalZarreko
Q2027	Santa Genobebaren bizitza	Gregorio Arrue	Q2026	https://monumenta.wikibase.cloud/wiki/Testua:ArrueGGenobeba/TEI	ArrueGGenobeba
Q1889	Goi-izpiak	Gabriel Manterola	Q1888	https://monumenta.wikibase.cloud/wiki/Testua:ManterolaGGoiIzpiak/TEI	ManterolaGGoiIzpiak
Q1891	Bai, pekatu da liberalkeriya	Jose Ignazio Arana	Q1890	https://monumenta.wikibase.cloud/wiki/Testua:AranaJIPekatu/TEI	AranaJIPekatu
Q1895	San Ignazio Loiolakoaren bizitza laburtua	Jose Ignazio Arana	Q1894	https://monumenta.wikibase.cloud/wiki/Testua:AranaJIIgnazio/TEI	AranaJIIgnazio
Q1897	Euskalerriko ipuñak	Errose Bustintza	Q1896	https://monumenta.wikibase.cloud/wiki/Testua:BustintzaEIpunak/TEI	BustintzaEIpunak
Q1899	Hau mundu arrano hau	Juan Bautista Bilbao	Q1898	https://monumenta.wikibase.cloud/wiki/Testua:BatxiArrano/TEI	BatxiArrano
