janaritegi,janariteguia
elkargo,elcargoa
batzartar,batzartarra
bilguma,bilguma
berezita,berecitá
bekosko,becoſcoa
bekoskodun,becoſcoduna
burutazino,burutacinoa
karabinari,carabinaria
karamelo,carameloa
ikazkin,icazquiña
algara,algará
zurindu,zurindu
zurindu,zurindua
kardari,cardaria
kardatu,cardatu
kardatu,cardatua
bularka,bularca
segail,ſegallá
txit,chit
oniritzi,oniritzia
txarrantxa,charrancha
txikiro,chiquiroa
aratuzte,aratuzteac
saminkor,ſamincorra
zurgintegi,zurguinteguia
burubide,burubidea
orgabide,orgabidea
gurdigile,gurdiguillea
masail,maſalla
kartoi,cartoya
ametz,ametzá
kaskabel,caſcabelá
etxalde,echaldea
hisialdi,hiſialdia
burutaldi,burutaldia
krisket,criſqueta
gazteluzai,gazteluzaya
gaztelar,gaztelarra
akirin,aquirina
lista,liſtá
lauso,lauſoa
kostoma,coſtomá
jakinbide,jaquinbidea
naroro,naroró
aurren,aurrena
izeki,icequia
errakai,erracaya
atxurlari,achurlaria
aitzurlari,aitzurlaria
aitzurle,aitzurlea
lurrunkai,lurruncaya
isilkor,iſilcorra
satitsu,ſatitſua
bezinta,becinta
burmun,burmuna
burmuin,burmuña
lakari,lacaria
zerutar,cerutarra
saskitxo,ſaſquichoa
otarratxo,otarrachoa
lupetza,lupetza
zingira,cinguirá
erraustegi,errauſteguia
autsu,autſua
austun,auſtuna
txingar,chingarra
txingartu,chingartu
zikirio,ciquirioa
seintzain,ſeinzaina
zingila,cinguilla
bekoskodun,becoſcoduna
murritu,murritu
murritu,murritua
burmun,burmuna
burmuin,burmuña
kandelategi,candelateguia
kandelagile,candelaguillea
txermen,chermena
lisiba,lisibá
austontzi,auſtoncia
eralki,eralqui
zetabatu,cetabatu
zero,ceroa
itxiera,ichiera
sarrailagile,ſarrallaguillea
zerratu,cerratu
zerratu,cerratua
guda,gudá
urdintsu,urdintſua
gararnotegi,gararnoteguia
gararnogile,gararnoguillea
gararno,gararnoa
otarregile,otarreguillea
txatar,chatarrá
txukun,chucuna
otsande,otſandea
gizatxar,guizacharra
puskatu,puſcatu
upa,upa
txalupa,chalupa
moldakaitz,moldacaitza
zaparrada,zaparrada
lupetza,lupetza
inautsi,iñautſi
inautsi,iñautſia
murgildu,murguildu
murgildu,murguildua
hitzontzi,hitzontzia
kontz,contzá
arraia,arráya
seintxo,ſeinchoa
txirola,chirola
txirolari,chirolaria
txistulari,chiſtularia
ezerezkeria,ecerezqueria
tximinea,chiminea
buztanikara,buztanicara
txingar,chingarra
txiste,chiſtea
danbatako,dambatacoa
jazar,jazarra
guda,guda
belaunezur,belaunezurra
istingor,iſtingorra
gizatxar,guizacharra
zanpatu,zampatu
lerdatu,lerdatu
txupatu,chupatu
txupatu,chupatua
isekari,iſecaria
arradiza,arradizá
itsuka,itſuca
jakintza,jaquintza
ziertoro,ciertoro
zurdatz,zurdatza
ezkilatxo,ezquillachoa
zimel,cimelá
zizelatu,cicelatu
zizelatu,cicelatua
zingilatu,cinguillatu
zingilatu,cinguillatua
nekosta,necoſtá
zutargi,zutarguia
zikindu,ciquindua
iduri,iduria
beltxarga,belchargá
zitara,citara
ojulari,ojularia
ezkutape,ezcutapea
argiro,arguiró
turunta,turuntá
zoli,zolia
klaustro,clauſtroa
iltzatu,iltzatu
iltzatu,iltzatua
iltzegile,iltzeguillea
apaiztar,apaiztarra
abadetar,abadetarra
apaiztu,apaiztu
karkaba,carcaba
lagunkidatu,lagunquidatu
lagunkidatu,lagunquidatua
murritu,murritu
murritu,murritua
barrunbe,barrumbea
zukutu,zucutua
txerri,cherria
zerri,cerria
sukalkin,ſucalquiña
galeper,galeperra
pospolin,poſpoliná
adinkide,adinquidea
anaikide,anaiquidea
batzaile,batzallea
tolestu,toleſtua
ondorengo,ondorengoa
luzoker,luzoquerrá
afarusi,afaruſia
gobada,gobadá
lisiba,liſiva
irazkai,irazcaya
kosna,coſná
kosna,coſná
bilgo,bilgoa
bilgo,bilgoa
eseki,eſequi
eseki,eſequia
lepande,lepandea
murrutu,murrutu
eultza,eultza
maizter,maizterrá
larrantz,larrantza
zabu,zabua
metarri,metarria
begi ur,begui ura
erbinude,erbiñudea
ogigaztai,oguigaztaya
jazar,jazarra
guda,gudá
gudari,gudaria
gudatu,gudatu
gudatu,gudatua
errakai,erracaya
errakor,erracorra
errakin,erraquiña
begirune,beguirunea
azaldu,azaldu
azaldu,azaldua
salerosi,ſaleroſi
aldimaitza,aldimaitza
mugikidatu,muguiquidatu
mugikidatu,muguiquidatua
egokiro,egoquiro
era,era
kupidatu,cupidatu
errukitu,erruquitu
kupidatu,cupidatua
errukitu,erruquitua
aitakide,aitaquidea
lagunkida,lagunquida
elkargo,elcargoa
bekalde,becaldea
bardinkuntza,bardincunza
bekaldu,becaldu
bekaldetu,becaldetu
bekaldu,becaldua
kupidakor,cupidacorra
elkargo,elcargoa
elkargo,elcargoa
ordaingarri,ordaingarria
ordaindu,ordaindu
ordaindu,ordaindua
pozkida,pozquidá
pozkidatu,pozquidatu
pozkidatu,pozquidatu
usbetatu,usbetatú
konpontzaile,compontzallea
antolamendu,antolamenduá
moldaera,moldaera
antolamendu,antolamendua
egitura,eguitura
apainketa,apainqueta
moldesi,moldeſiá
erosketa,eroſqueta
estutu,eſtutu
arautu,arautu
arautu,arautua
maskordun,maſcordun
bukatu,bucatu
bukaera,bucaera
ustekida,uſtequida
bilkida,bilquidá
jendedi,gendedia
bilkida,bilquida
eripetu,eripetu
eripetu,eripetua
ekarrai,ecarraya
untxi,unchia
untxi,unchia
estandarte,eſtandarte
bekaldu,becaldu
bekaldu,becaldua
aitortegi,aitorteguia
jazar,jazarrá
erakida,eraquida
erakidatu,eraquidatu
erakidatu,eraquidatua
erakide,eraquidea
erara,erara
erakida,eraquida
biltzarkide,biltzarquidea
batzarkide,batzarquidea
egokiro,egoquiró
egokinde,egoquindea
egokiro,egoquiró
erabide,erabidea
itsatsi,itſatſia
irabazkida,irabazquida
irabazkidatu,irabazquidatua
donekidatu,donequidatu
donekidatu,donequidatua
esonde,eſondea
betuste,betuſtea
pozkidatu,pozquidatu
pozkidatu,pozquidatua
ekidatu,equidatu
ekidatu,equidatua
pozkida,pozquida
erkitu,erquitua
zenbatetu,cembatetua
kontatzaile,contatzallea
kontukintza,contuquintza
begirune,beguirunea
pozkidatu,pozquidatu
erakida,eraquida
moldaera,moldaera
aurrandetu,aurrandetu
aurrandetu,aurrandetua
kontrabando,contrabandoa
kontradantza,contradanza
kontraesan,contraeſan
elbarri,elbarria
kontramaisu,contramaiſua
satai,ſataya
salerosi,ſaleroſi
kontrapozoi,contrapozoia
pozkabetu,pozcabetu
pozkabetu,pozcabetua
burkoi,burcoya
elkargo,elcargoá
bilgo,bilgoa
ugariro,ugariro
naroro,naroró
naro,naroa
korbata,corbata
artelazki,artelazquia
artelazki,artelazquia
kortxo,corchoa
txit,chit
adarkada,adarcada
adarkari,adarcaria
adarkatu,adarcatu
beltzurda,belzurda
gorpuztun,gorpuztuna
gorpuzdun,gorpuzduna
baranda,barandá
kakeria,caqueria
eiaka,eyaca
jario,jario
izkina,izquiña
korrika,corrica
galkidatu,galquidatu
gaizkindu,gaizquindú
galkidatu,galquidatu
galkidatu,galquidatua
urduritu,urduritu
gazuratu,gazuratu
begirune,beguirunea
errezel,errecela
makurrera,macurrera
gubia,gubia
orbel,orbelá
kosko,coſcoa
kili,quiliá
kilimelatu,quilimelatu
kilikor,quilicorra
jostun,joſtuná
bekaldetu,becaldetu
bekalde,becaldea
loro,loro
lurruspe,lurruſpea
urgun,urgún
urgun,urguna
lokazur,locazurra
loditasun,loditaſuna
ilgora,ilgorá
siniskor,ſiniſcorra
sinisgarri,ſiñiſgarria
siniskizun,ſiniſquizuna
kizkurtu,quizcurtu
kizkur,quizcurra
zurra,zurra
gandor,gandorra
morroi,morroya
salaketa,ſalaqueta
sukatilu,ſucatillua
kriselu,criſelua
krokodilo,crocodiloa
gogorkiro,gogorquiró
upela,upela
upelagile,upelaguillea
upagin,upaguiña
upeltxo,upelchoa
barrunbe,barrumbea
opots,opotſá
burruntzali,burruntzalia
burruntzali,burruntzalia
aiztu,aiztua
kokorika,cócorica
erratilu,erratillua
alasai,alaſaya
zenbate,cembatea
ale,aleac
garau,garauac
zogiro,zoguiró
zurra,zurrá
zogi,zoguiá
lurruspe,lurruſpea
ardurati,arduratia
ziur,ciurrá
koitadu,coitadua
sutunpa,ſutumpa
sugetzar,ſuguetzarra
erru,erruá
erru,errua
errudun,errudun
kulpadun,culpaduna
tontor,tontorrá
egikaritu,eguicaritu
askidatu,aſquidatu
egikaritu,eguicaritu
edaski,edaſqui
koinata,coñatá
koinata,coinatá
zaitari,zaitaria
osatzailea,oſatzallea
poliki,poliqui
politasun,politaſuna
sarritu,ſarritu
sarritu,ſarritua
sarritu,ſarritua
joaira,joaira
maneatu,maneatu
makurrera,macurrera
segari,ſegaria
damasko,damaſcoa
damatxo,damachoa
kaltar,caltar
aurren,aurrena
kaltegile,calteguillea
jauspen,jauſpena
moldesi,moldeſia
erabaki,erabaqui
erabaki,erabaquia
azalde,azaldea
azaldu,azaldu
azaldu,azaldua
moldesi,moldeſia
erabaki,erabaqui
erabaki,erabaquia
aurren,aurrena
joaira,joaira
jario,jarioa
donkitu,donquitua
eskudatu,eſcudatu
eskudatu,eſcudatua
eskudatzaile,eſcudatzallea
erakaitz,eracaitza
salakera,ſalaquera
salaketa,ſalaqueta
aurren,aurrena
salatzaile,ſalatzallea
limuri,limuria
limurikor,limuricorra
labainkor,labaincorra
segail,ſegailla
betuste,betuſtea
mainati,mañatia
ziamartu,ciamartu
ziamartu,ciamartua
mugatu,mugatu
osterantzeko,oſterantzecoac
arestian,areſtian
mainati,mañatia
alai,alaya
iraindu,iraindu
iraindu,iraindua
trinkatu,trincatu
trinkatu,trincatua
barrendu,barrendu
barrutu,barrutu
barnatu,barnatu
erru,errua
irain,irainá
berezitu,berecitu
esegi,eſegui
dongaro,dongaro
naroro,naroró
likatu,licatua
amildu,amildu
amildu,amildua
joaira,joaira
erroitz,erroitza
burkaitz,burcaitza
erroiztu,erroiztu
burkaiztu,burcaiztu
amildu,amildu
erroiztu,erroiztua
garraztu,garraztu
zorgetu,zorguetu
desitsatsi,deſitſatſi
disidu,diſidú
moldakaizkiro,moldacaizquiró
erakaitz,eracaitzá
desalaitu,deſalaitu
deslotu,deslotu
deslotu,deslotu
gogorkiro,gogorquiro
desanparatu,deſamparatu
desalaitu,deſalaitu
desagertu,deſaguertu
deserrotu,deſerrotu
desitsatsi,deſitſatſi
deslotu,deslotu
lasai,laſaya
senge,ſenguea
zorakeria,zoraqueria
jausbetitu,jausbetitu
jausbetitu,jausbetitua
desneke,deſnequea
akastu,acaſtu
akastu,acaſtua
lotsabagekeria,lotſabaguequeria
lotsabagetu,lotſabaguetu
errebelatu,errebelatu
errebelatu,errebelatu
errebelatu,errebelatua
puskatu,puſcatu
zepa,cepa
zurindu,zurindu
desestali,deſeſtali
desestali,deſeſtalia
lotsabagetu,lotſabaguetu
lotsabagekeria,lotſabaguequeria
desegoki,deſegoquia
erabage,erabaguea
erabagetu,erabaguetua
erabage,erabaguea
eskergero,eſquerguero
kakeria,caqueria
fidakaiztu,fidacaiztu
fidakaiztu,fidacaiztua
urratu,urratu
txikitu,chiquitu
salatzaile,ſalatzallea
estalgetu,eſtalguetu
desestali,deſeſtali
desestali,deſeſtalia
deslaitu,deslaitu
deslaitu,deslaitua
deslai,deslaya
kondar,condarra
gaitzbide,gaitzbidea
lasaitu,laſaitu
desengainatu,deſengañatu
desengainu,deſengañua
jausbetitu,jausbetitu
desloratu,desloratu
indargetu,indarguetu
amildu,amildu
urratu,urratua
desordu,deſordua
berdinez,berdiñeza
desberdindu,desberdindu
maskaldu,maſcaldu
desleialtasun,desleyaltaſuna
inautsi,iñautſi
deslotu,deslotu
deslotu,deslotu
mugatu,mugatu
limuri,limuria
irrista,irriſta
labaintegi,labainteguia
labainkor,labaincorra
limurikor,limuricorra
limuritu,limuritu
irristatu,irriſtatu
kandutu,candutua
traskil,traſquilla
baldan,baldana
traskil,traſquilla
baldankeria,baldanqueria
moldakaitz,moldacaitza
deslaitu,deslaitu
kordebagetu,cordebaguetu
neurkaitz,neurcaitza
jausbetitu,jausbetitu
neurkaitz,neurcaitza
lotsabagetu,lotſabaguetu
erkitu,erquitua
erbestetu,erbeſtetu
atzerritu,atzerritu
desobeditu,deſobeditu
kimatu,quimatu
babil,babilla
lerdatu,lerdatu
zanpatu,zampatu
gogaiterazo,gogaiterazo
alatu,alatu
puskatu,puſcatu
desitsatsi,deſitſatſi
alaitasun,alaitaſuna
erroitz,erroitza
amildu,amildu
kakeria,caqueria
pilatzaile,pillatzallea
pilatu,pillatu
tiragale,tiragaleac
urratu,urratua
puskatu,puſcatu
beregandu,beregandu
soildu,ſoildu
akastu,acaſtu
lokabe,locabea
erausi,erauſi
urruindu,urruindu
urruin,urruña
desitsatsi,deſitſatſi
desitsatsi,deſitſatſi
jalki,jalqui
txorakeria,choraqueria
matrailezur,matrallezurra
garrazkiro,garrazquiro
garraztu,garraztu
odolustu,odoluſtu
odolgabetu,odolgabetu
estalgetu,eſtalguetu
desestali,deſeſtali
itoiti,itoitia
deserritu,deſerritu
erbestetu,erbeſtetu
atzerritu,atzerritu
deserritu,deſerritua
erbestetu,erbeſtetua
atzerritu,atzerritua
desordu,deſordua
deserri,deſerria
erbeste,erbeſtea
itsumutil,itſumutila
bakandu,bacandu
traskil,traſquilla
zorabiatu,zorabiatu
lotsabagetu,lotſabaguetu
lotsabagekeria,lotſabaguequeria
lotsabagetasun,lotſabaguetaſuna
alderagin,alderaguin
astitsu,aſtitſua
gaitzesgarri,gaitzeſgarria
jaiera,jaiera
deboto,devotoa
enaseria,enaſeria
deabrudun,deabruduna
apaizurren,apaizurrena
dialektika,dialectica
arturgi,arturguia
kakeria,caqueria
ziamartu,ciamartu
lotazil,lotacilla
trebero,trebero
banaita,banaitá
txegosi,chegoſia
dina,diña
zabalkiro,zabalquiro
bizitasun,vicitaſuna
jatorri,jatorri
barruti,barrutia
bitezar,bitezarra
ekauta,ecauta
ekautu,ecautu
ekautu,ecautua
zuzendari,zucendaria
artezari,artezaria
erausi,erauſi
zogiro,zoguiro
zogi,zoguia
zurra,zurrá
erakaitz,eracaitza
erakaitz,eracaitza
moldakaitz,moldacaitza
erabage,erabaguea
moldegabe,moldegabea
erkindu,erquindu
erkindu,erquindua
zorakeria,zoraqueria
maneatu,maneatu
epakera,epaquera
bidasti,bidaſtia
mugatu,mugatu
banaita,banaita
barruti,barrutia
mugape,mugapea
banaita,banaita
jostaketa,joſtaqueta
egurastu,eguraſtu
berezitu,berecitua
tolestatu,toleſtatu
amabizko,amabizcoa
errazkiro,errazquiro
jakinbide,jaquinbidea
ikasarazi,icaſaraci
ikaserazo,icaſerazo
maltsotu,malſotu
otzan,otzana
menpetu,mempetu
poliki,poliqui
urreztu,urreztua
logura,logurac
loguratu,loguratu
barruti,barrutia
enura,enurá
duende,duendea
elizai,elizaya
bolingozo,bolingozoa
eztitu,eztitu
gizatxar,guizacharra
arge,arguea
andeza,andeza
ekida,equida
ekidatu,equidatu
ekarrai,ecarraya
ekantza,ecanza
irakurtza,iracurtza
irakurgarri,iracurgarria
irakurgarri,iracurgarria
indargetu,indarguetu
jatorri,jatorria
baira,baira
zingira,cinguira
bialkin,bialquiña
baira,bairá
bultzada,bultzada
sarrera,ſarrera
astotu,aſtotu
puztu,puztu
buiatu,buyatu
nabartu,navartua
katranbilatu,catrambillatu
senartu,ſenartu
eztitu,eztitu
mutuarazi,mutuaraci
lotsati,lotſatia
gogoan jo,gogoan jo
gogoan jo,gogoan joa
lokaztu,locaztu
lokaztu,locaztu
papereztu,papereztu
bultzatu,bultzatu
pikeztatu,piqueztatu
pikeztatu,piqueztatua
bultzada,bulzada
gaizkiagotu,gaizquiagotu
txikertu,chiquertu
txikitu,chiquitu
amorratu,amorratua
pozoitu,pozoitua
bultzada,bultzada
bultzatu,bultzatu
bultzada,bultzada
euskarri,euſcarria
ihakin,ihaquina
besterendu,beſterendu
besterendu,beſterendua
kordebagetu,cordebaguetu
kateatu,cateatu
kateatu,cateatua
kareztatu,careztatu
kareztatu,careztatua
itogarri,itogarria
bideratu,bideratu
bideratu,bideratu
bideratu,bideratua
kandutu,candutu
kandutu,candutua
txuritu,churitu
erkitu,erquitua
sorgindu,ſorguindu
aurkeztu,aurqueztu
aurkeztu,aurqueztua
garestitu,gareſtitu
garestitu,gareſtitua
garestia,gareſtia
oniritzi,oniritzi
oniritzi,oniritzia
barrutu,barrutu
aurkez,aurquez
eripetu,eripetu
eripetu,eripetua
zumitz,zumitza
sustraitu,ſuſtraitu
oi,oyac
erkitu,erquitua
bidalkartu,bidalcartu
baztertu,baztertu
kizkurtu,quizcurtua
gandortu,gandortu
gandortu,gandortua
adastu,adaſtua
upeleratu,upeleratu
upeleratu,upeleratua
erpindu,erpindu
erpindu,erpindua
segail,ſegallá
adia,adiac
adiakatu,adiacatu
gaizkindu,gaizquindu
gaizkindu,gaizquindua
zuzentzaile,zucentzallea
eztitu,eztitu
zurra,zurra
zurkaitz,zurcaitza
zikoitz,cicoitza
likabra,licabra
areriotasun,areriotaſuna
areriotu,areriotu
areriotu,areriotu
gaizkindu,gaizquindua
eritegi,eriteguia
erizain,erizaina
erikor,ericorra
gaiso,gaiſoa
alaitu,alaitu
alaitu,alaitua
erkindu,erquindu
iskanbila,iſcambilla
azaldu,azaldu
trinkatu,trincatu
trinkatu,trincatua
galantu,galantu
galantu,galantua
gandortu,gandortua
engainakor,engañacorra
atzipetzaile,atzipetzallea
atzipetu,atzipetu
zilibokatu,cilibocatu
bairatsu,bairatſua
kakoatu,cacoatu
gartza,gartzá
zalerazo,zalerazo
likurtatu,licurtatu
likurtatu,licurtatua
maskaldu,maſcaldu
nazkatu,nazcatu
nagatu,nagatu
nazkatu,nazcatua
txoratu,choratu
biskatu,biſcatu
txoratu,choratu
leinargitu,leñarguitu
leinargitu,leñarguitua
suminkor,ſumincorra
neurkaitz,neurcaitza
eskergero,eſquerguero
sareztatu,ſareztatu
katranbila,catrambilla
naspiltsu,naſpilſua
sareztatu,ſareztatu
sareztatu,ſareztatua
kizkur,quizcurra
kizkurtu,quizcurtu
kizkurtu,quizcurtua
marranga,marrangá
erlasdura,erlaſdurá
surmur,ſurmurra
zabaltzaile,zabaltzallea
odoldu,odoldu
saiatu,ſayatu
saiatu,ſayatua
estandarte,eſtandarte
ikasarazi,icaſaraci
ikaserazo,icaſerazo
ikasarazi,icaſaracia
kizkurtu,quizcurtu
kizkurtu,quizcurtua
zikindu,ciquindu
urdetu,urdetu
zikindu,ciquindua
estutu,eſtutu
otailugile,otalluguillea
otailutu,otallutua
elbarritu,elbarritua
adiurre,adiurrea
saiatu,ſayatua
adiera,adiera
zulogile,zuloguillea
lurpetu,lurpetu
lurperatu,lurperatu
lurpetu,lurpetua
indartu,indartu
estibatu,eſtibatua
estiba,eſtiba
zuntoi,zuntoya
arrabiatu,arrabiatu
okertu,oquertu
barrutu,barrutu
barrendu,barrendu
entregatu,entregatu
bakandu,bacandu
beregandu,beregandu
jostailu,joſtallua
jostaketa,joſtaqueta
pozaldi,pozaldia
katranbilatu,catrambillatu
arretu,arretu
arretu,arretua
aguretu,aguretu
pozoitu,pozoitu
pozoitu,pozoitua
ondamu,ondamua
bilgo,bilgoa
txertatu,chertatu
eztitu,eztitu
txertatu,chertatua
eztitu,eztitua
txerto,chertoa
aserrarazi,aſſerraraci
titulo,titulo
begitandu,beguitandu
begitandu,beguitandua
mortuar,mortuarra
bakartar,bacartarra
jakintza,jaquintza
liraintasun,liraintaſuna
eskabetxatu,eſcabechatu
eskabetxatu,eſcabechatua
eskala,eſcalá
tolet,toletá
ezkatadun,ezcataduna
aterrune,aterrunea
aterraldi,aterraldia
galtxuri,galchuria
gaitzbide,gaitzbidea
mausa,mauſa
zizeilu,cicellua
eskapulario,eſcapularioa
kakalardo,cacalardoa
karamarro,caramarroa
atela,atelá
jorra,jorra
jorratzaile,jorratzallea
jorrari,jorraria
jorratu,jorratu
jorratu,jorratua
isekari,iſecaria
isekatu,iſecatu
isekatu,iſecatua
iseka,iſeca
ostertxuri,oſterchuria
eskarola,eſcarola
ostertxuri,oſterchuria
eskarola,eſcarola
azalpeko,azalpecoa
murri,murri
iruditegi,iruditeguia
loteki,lotequia
erratz,erratzá
isats,iſatſá
erratz,erratzac
irakurtza,iracurtza
ugarri,ugarria
eskopeta,eſcopeta
eskoplo,eſcoploa
zepa,cepá
arrabio,arrabioa
lupu,lupua
bekatxu,becachua
betxindor,bechindorra
bitor,bitorra
ainbandu,aimbandu
ainbandu,aimbandua
zorabia,zorabia
agerkai,aguercaya
bilakinde,billaquindea
eskudatu,eſcudatu
eskudatu,eſcudatua
katilu,catillua
bilakindu,billaquindu
bilakindetu,billaquindetu
ikasola,icaſolac
otailutu,otallutu
otailutu,otallutua
otailugile,otalluguillea
otailari,otallaria
otailu,otallua
labainkor,labaincorra
limurikor,limuricorra
gizatxar,guizacharra
gartza,gartzá
bertiste,bertiſtea
miruska,miruſca
astitsu,aſtitſua
zabar,zabarra
ezpatatu,ezpatatu
ezpatakin,ezpataquiña
ezpatagile,ezpataguillea
bildurgarri,bildurgarria
ikaragarriro,icaragarriro
izukor,izucorra
izutu,izutu
izu,izua
zukurutz,zucurutza
miruska,miruſca
berezitu,berecitu
igurikarazi,iguricaraci
erkitu,erquitua
ziazerba,ciacerba
arantzatu,aranzatu
bizkarrezur,bizcarrezurra
marboil,marboilla
gaizkindu,gaizquindu
alai,alaya
megope,megopea
naroro,naroro
narotasun,narotaſuna
naro,naroa
ezproi,ezproya
apar,aparra
apartsu,apartſua
eskuadra,eſcuadra
eskuadra,eſcuadra
eskuadroi,eſcuadroya
txanel,chanela
muskildu,muſquildua
muskil,muſquilla
izaira,izaira
bizibide,bicibidea
bizimodu,bicimodua
zartada,zartada
zirraida,cirraida
igortzi,igortzi
tailu,tallua
tailuntza,tallunza
tailugile,talluguillea
tailu,tallua
tailu,taillua
estera,eſtera
zimaurtu,cimaurtu
goroztegi,gorozteguia
soiltasun,ſoiltaſuna
soildu,ſoildu
bularrezur,bularrezurra
goroztegi,gorozteguia
zimaur,cimaurra
